greeter	screener	dispenser	medic	resources	throughput	time
6	3	4	3	16	213.333333333	28.7152158007
7	3	3	3	16	225.666666667	31.2521755895
7	3	4	3	17	234.0	28.0884782933
7	3	5	3	18	249.666666667	28.0644595769
8	3	4	3	18	281.333333333	28.9981520377
8	3	5	3	19	280.0	28.4026101886
8	4	4	3	19	285.666666667	28.9962266445
8	5	5	3	21	287.0	28.588144629
8	4	5	5	22	291.0	28.7116291672
8	7	4	3	22	293.666666667	29.0856316876
7	4	8	4	23	235.666666667	27.901002084
7	3	6	7	23	241.333333333	27.9389181013
7	4	10	5	26	237.666666667	27.853326682
